排名,代码,名称,指数,股息率(%),TTM每股股息(元),当前价(元)
152,000088,盐田港,中证500,4.55,0.195,4.29
153,601577,长沙银行,中证500,4.54,0.430,9.48
154,601033,永兴股份,中证1000,4.52,0.630,13.95
155,600704,物产中大,中证500,4.50,0.220,4.89
156,601555,东吴证券,中证500,4.49,0.358,7.97
157,002532,天山铝业,沪深300,4.49,0.550,12.25
158,601528,瑞丰银行,中证1000,4.49,0.210,4.68
159,600908,无锡银行,中证1000,4.49,0.240,5.35
160,001233,海安集团,中证1000,4.48,2.000,44.61
161,000932,华菱钢铁,中证500,4.48,0.160,3.57
162,002736,国信证券,沪深300,4.47,0.450,10.06
163,600211,西藏药业,中证1000,4.47,1.757,39.30
164,000498,山东路桥,中证1000,4.47,0.222,4.97
165,000923,河钢资源,中证1000,4.43,0.600,13.55
166,688208,道通科技,中证1000,4.40,1.080,24.57
167,002060,广东建工,中证1000,4.39,0.140,3.19
168,601963,重庆银行,中证1000,4.38,0.448,10.24
169,000429,粤高速A,中证500,4.37,0.604,13.83
170,600600,青岛啤酒,沪深300,4.37,2.350,53.83
171,689009,九号公司,中证500,4.34,1.672,38.52
172,601658,邮储银行,沪深300,4.33,0.218,5.04
173,000928,中钢国际,中证1000,4.31,0.210,4.87
174,300144,宋城演艺,中证500,4.28,0.250,5.84
175,600519,贵州茅台,沪深300,4.28,51.981,1214.88
176,600064,南京高科,中证1000,4.27,0.320,7.49
177,002249,大洋电机,中证1000,4.27,0.296,6.94
178,601336,新华保险,沪深300,4.23,2.730,64.51
179,600219,南山铝业,沪深300,4.23,0.176,4.16
180,600926,杭州银行,沪深300,4.23,0.660,15.62
181,603233,大参林,中证500,4.22,0.830,19.68
182,600008,首创环保,中证500,4.21,0.120,2.85
183,002958,青农商行,中证1000,4.18,0.120,2.87
184,000999,华润三九,沪深300,4.18,1.040,24.88
185,601766,中国中车,沪深300,4.17,0.230,5.51
186,001386,马可波罗,中证500,4.17,0.600,14.40
187,600639,浦东金桥,中证1000,4.15,0.400,9.63
188,601019,山东出版,中证500,4.14,0.290,7.00
189,600660,福耀玻璃,沪深300,4.14,2.100,50.70
190,603317,天味食品,中证1000,4.14,0.550,13.28
191,601398,工商银行,沪深300,4.14,0.310,7.50
192,600710,苏美达,中证1000,4.12,0.415,10.08
193,603658,安图生物,中证500,4.11,1.310,31.87
194,601298,青岛港,中证500,4.10,0.345,8.42
195,600269,赣粤高速,中证1000,4.10,0.170,4.15
196,601665,齐鲁银行,中证500,4.09,0.249,6.10
197,000528,柳工,中证500,4.07,0.325,7.98
198,600258,首旅酒店,中证1000,4.07,0.450,11.06
199,000600,建投能源,中证1000,4.05,0.320,7.90
200,600377,宁沪高速,中证500,4.02,0.490,12.18
201,603218,日月股份,中证1000,4.02,0.380,9.46
202,601156,东航物流,中证500,3.99,0.677,16.97
203,000786,北新建材,中证500,3.98,0.685,17.22
204,600483,福能股份,中证500,3.98,0.426,10.71
205,600028,中国石化,沪深300,3.98,0.200,5.03
206,002705,新宝股份,中证1000,3.95,0.450,11.38
207,001286,陕西能源,中证500,3.93,0.410,10.42
208,600968,海油发展,中证500,3.93,0.147,3.74
209,600012,皖通高速,中证1000,3.93,0.660,16.80
210,601860,紫金银行,中证1000,3.92,0.100,2.55
211,601288,农业银行,沪深300,3.92,0.249,6.37
212,002601,龙佰集团,中证500,3.91,0.600,15.36
213,600050,中国联通,沪深300,3.88,0.164,4.21
214,601390,中国中铁,沪深300,3.88,0.168,4.33
215,600938,中国海油,沪深300,3.88,1.145,29.52
216,601939,建设银行,沪深300,3.87,0.389,10.04
217,001227,兰州银行,中证1000,3.86,0.080,2.07
218,601225,陕西煤业,沪深300,3.86,0.948,24.55
219,002304,洋河股份,沪深300,3.86,1.470,38.08
220,601988,中国银行,沪深300,3.86,0.226,5.87
221,600332,白云山,中证500,3.85,0.850,22.06
222,600998,九州通,中证500,3.84,0.200,5.21
223,000951,中国重汽,中证500,3.83,0.827,21.57
224,002588,史丹利,中证1000,3.83,0.315,8.22
225,601601,中国太保,沪深300,3.83,1.150,30.02
226,002056,横店东磁,中证500,3.81,0.980,25.71
227,001965,招商公路,沪深300,3.78,0.373,9.86
228,600004,白云机场,中证500,3.77,0.285,7.55
229,600057,厦门象屿,中证1000,3.77,0.220,5.83
230,600018,上港集团,沪深300,3.76,0.195,5.19
231,002043,兔宝宝,中证1000,3.76,0.412,10.97
232,603043,广州酒家,中证1000,3.75,0.500,13.33
233,300498,温氏股份,沪深300,3.75,0.500,13.35
234,603699,纽威股份,中证500,3.75,1.610,42.99
235,002142,宁波银行,沪深300,3.74,1.200,32.05
236,000030,富奥股份,中证1000,3.74,0.150,4.01
237,002507,涪陵榨菜,中证1000,3.73,0.420,11.26
238,600761,安徽合力,中证1000,3.72,0.600,16.11
239,002223,鱼跃医疗,中证500,3.72,1.000,26.90
240,002152,广电运通,中证500,3.71,0.370,9.97
241,002727,一心堂,中证1000,3.70,0.400,10.80
242,600820,隧道股份,中证500,3.64,0.200,5.50
243,600583,海油工程,中证500,3.64,0.196,5.39
244,301087,可孚医疗,中证1000,3.62,1.800,49.69
245,600662,外服控股,中证1000,3.61,0.150,4.15
246,600867,通化东宝,中证1000,3.61,0.300,8.31
247,603858,步长制药,中证500,3.59,0.570,15.88
248,601018,宁波港,沪深300,3.58,0.120,3.35
249,600886,国投电力,沪深300,3.57,0.508,14.23
250,603556,海兴电力,中证1000,3.57,0.800,22.43
251,002714,牧原股份,沪深300,3.56,1.355,38.08
252,002332,仙琚制药,中证1000,3.55,0.300,8.45
253,300130,新国都,中证1000,3.54,0.600,16.96
254,600572,康恩贝,中证1000,3.53,0.150,4.25
255,000408,藏格矿业,沪深300,3.52,2.500,70.98
256,600958,东方证券,沪深300,3.51,0.320,9.12
257,600900,长江电力,沪深300,3.50,1.000,28.55
258,600323,瀚蓝环境,中证1000,3.50,1.050,29.99
259,603605,珀莱雅,中证500,3.49,2.000,57.38
260,002001,新和成,沪深300,3.47,1.000,28.80
261,000550,江铃汽车,中证1000,3.47,0.556,16.01
262,000598,兴蓉环境,中证500,3.47,0.235,6.78
263,603025,大豪科技,中证1000,3.46,0.450,12.99
264,603871,嘉友国际,中证1000,3.46,0.400,11.55
265,600060,海信视像,中证500,3.46,0.940,27.19
266,000685,中山公用,中证1000,3.44,0.385,11.18
267,603919,金徽酒,中证1000,3.44,0.500,14.52
268,600033,福建高速,中证1000,3.44,0.121,3.52
269,603883,老百姓,中证1000,3.43,0.410,11.94
270,688289,圣湘生物,中证1000,3.43,0.523,15.25
271,601369,陕鼓动力,中证1000,3.43,0.310,9.04
272,002415,海康威视,沪深300,3.42,1.150,33.58
273,002270,华明装备,中证1000,3.41,0.610,17.90
274,002832,比音勒芬,中证1000,3.40,0.720,21.15
275,601326,秦港股份,中证1000,3.40,0.115,3.38
276,002236,大华股份,沪深300,3.40,0.555,16.32
277,601187,厦门银行,中证1000,3.39,0.250,7.38
278,688009,中国通号,沪深300,3.39,0.170,5.02
279,002215,诺普信,中证1000,3.39,0.300,8.86
280,002081,金螳螂,中证1000,3.39,0.130,3.84
281,600350,山东高速,中证500,3.38,0.420,12.42
282,603156,养元饮品,中证500,3.38,1.500,44.37
283,603345,安井食品,中证500,3.38,2.865,84.75
284,000783,长江证券,中证500,3.38,0.300,8.88
285,600971,恒源煤电,中证1000,3.37,0.250,7.41
286,600420,国药现代,中证1000,3.37,0.300,8.90
287,301262,海看股份,中证1000,3.36,0.620,18.46
288,603733,仙鹤股份,中证1000,3.35,0.700,20.88
289,002010,传化智联,中证1000,3.31,0.150,4.53
290,603939,益丰药房,中证500,3.28,0.700,21.35
291,601800,中国交建,沪深300,3.28,0.196,5.97
292,600674,川投能源,沪深300,3.27,0.500,15.30
293,000883,湖北能源,中证500,3.27,0.150,4.59
294,002948,青岛银行,中证1000,3.27,0.180,5.51
295,000791,甘肃能源,中证1000,3.21,0.230,7.16
296,000795,英洛华,中证1000,3.19,0.263,8.25
297,600989,宝丰能源,沪深300,3.18,0.700,22.03
298,002847,盐津铺子,中证1000,3.18,1.400,44.09
299,000538,云南白药,沪深300,3.16,1.583,50.05
300,601001,晋控煤业,中证500,3.15,0.547,17.35
301,300529,健帆生物,中证1000,3.14,0.520,16.55
302,301175,中科环保,中证1000,3.14,0.160,5.10
303,300760,迈瑞医疗,沪深300,3.13,4.380,139.96
304,000686,东北证券,中证1000,3.13,0.250,7.99
305,002258,利尔化学,中证1000,3.12,0.400,12.83
306,600389,江山股份,中证1000,3.11,0.550,17.66
307,002624,完美世界,中证500,3.11,0.330,10.60
308,002061,浙江交科,中证1000,3.11,0.110,3.54
309,000963,华东医药,沪深300,3.11,0.930,29.94
310,000885,城发环境,中证1000,3.09,0.386,12.48
311,002299,圣农发展,中证500,3.09,0.500,16.17
312,601319,中国人保,沪深300,3.07,0.220,7.16
313,003006,百亚股份,中证1000,3.07,0.400,13.02
314,600428,中远海特,中证1000,3.07,0.325,10.58
315,000563,陕国投A,中证1000,3.07,0.090,2.93
316,000739,普洛药业,中证500,3.07,0.586,19.09
317,301039,中集车辆,中证1000,3.07,0.210,6.84
318,603288,海天味业,沪深300,3.07,1.060,34.56
319,002946,新乳业,中证1000,3.06,0.450,14.70
320,002773,康弘药业,中证500,3.05,0.700,22.92
321,300415,伊之密,中证1000,3.05,0.600,19.66
322,601236,红塔证券,中证500,3.05,0.210,6.89
323,601600,中国铝业,沪深300,3.05,0.270,8.86
324,301371,敷尔佳,中证1000,3.05,0.800,26.26
325,001914,招商积余,中证1000,3.02,0.260,8.60
326,601333,广深铁路,中证1000,3.02,0.090,2.98
327,603100,川仪股份,中证1000,3.02,0.510,16.89
328,603049,中策橡胶,中证500,3.01,1.430,47.43
329,000612,焦作万方,中证1000,2.99,0.325,10.87
330,600578,京能电力,中证500,2.98,0.170,5.70
331,002287,奇正藏药,中证1000,2.97,0.630,21.21
332,600933,爱柯迪,中证1000,2.94,0.400,13.59
333,002120,韵达股份,中证500,2.93,0.200,6.82
334,688516,奥特维,中证1000,2.93,1.300,44.36
335,600754,锦江酒店,中证500,2.92,0.510,17.44
336,300009,安科生物,中证1000,2.91,0.250,8.59
337,600993,马应龙,中证1000,2.91,0.700,24.06
338,600373,中文传媒,中证1000,2.91,0.200,6.88
339,000987,越秀资本,中证500,2.91,0.220,7.57
340,002096,易普力,中证1000,2.90,0.256,8.83
341,600801,华新建材,中证500,2.90,0.550,18.98
342,002311,海大集团,沪深300,2.90,1.300,44.89
343,603406,天富龙,中证1000,2.89,0.750,25.91
344,600511,国药股份,中证500,2.89,0.800,27.66
345,601898,中煤能源,沪深300,2.89,0.383,13.25
346,600737,中粮糖业,中证500,2.88,0.340,11.82
347,600587,新华医疗,中证1000,2.85,0.350,12.27
348,600062,华润双鹤,中证500,2.84,0.479,16.86
349,600928,西安银行,中证1000,2.84,0.100,3.52
350,600517,国网英大,中证500,2.84,0.134,4.72
351,002267,陕天然气,中证1000,2.84,0.200,7.05
352,601816,京沪高铁,沪深300,2.84,0.134,4.72
353,601003,柳钢股份,中证1000,2.83,0.100,3.53
354,601607,上海医药,沪深300,2.83,0.470,16.61
355,600406,国电南瑞,沪深300,2.83,0.622,21.99
356,600956,新天绿能,中证1000,2.82,0.200,7.09
357,601089,福元医药,中证1000,2.80,0.500,17.85
358,000807,云铝股份,沪深300,2.80,0.699,24.98
359,000623,吉林敖东,中证500,2.79,0.500,17.89
360,601117,中国化学,沪深300,2.79,0.211,7.55
361,601026,道生天合,中证1000,2.79,0.380,13.60
362,600546,山煤国际,中证500,2.79,0.355,12.74
363,000650,仁和药业,中证1000,2.79,0.152,5.45
364,600999,招商证券,沪深300,2.78,0.568,20.40
365,002626,金达威,中证1000,2.77,0.400,14.42
366,300832,新产业,沪深300,2.76,1.200,43.55
367,603132,金徽股份,中证1000,2.75,0.430,15.61
368,002410,广联达,中证500,2.75,0.230,8.35
369,601211,国泰海通,沪深300,2.75,0.500,18.17
370,600595,中孚实业,中证500,2.75,0.175,6.36
371,600348,华阳股份,中证500,2.74,0.237,8.65
372,601688,华泰证券,沪深300,2.74,0.550,20.08
373,688036,传音控股,沪深300,2.72,1.700,62.40
374,002352,顺丰控股,沪深300,2.72,0.890,32.67
375,601881,中国银河,沪深300,2.72,0.350,12.85
376,600021,上海电力,中证500,2.72,0.370,13.59
377,601965,中国汽研,中证1000,2.72,0.340,12.50
378,002101,广东鸿图,中证1000,2.72,0.252,9.27
379,603589,口子窖,中证500,2.72,0.500,18.41
380,000776,广发证券,沪深300,2.71,0.600,22.10
381,002432,九安医疗,中证500,2.71,1.650,60.90
382,600017,日照港,中证1000,2.71,0.073,2.68
383,603299,苏盐井神,中证1000,2.69,0.252,9.38
384,002315,焦点科技,中证1000,2.68,0.600,22.37
385,300888,稳健医疗,中证500,2.67,0.750,28.06
386,601952,苏垦农发,中证1000,2.66,0.210,7.88
387,605099,共创草坪,中证1000,2.65,0.830,31.35
388,000338,潍柴动力,沪深300,2.65,0.732,27.65
389,600104,上汽集团,沪深300,2.65,0.266,10.05
390,000729,燕京啤酒,中证500,2.64,0.300,11.36
391,000672,上峰材料,中证1000,2.63,0.480,18.22
392,600031,三一重工,沪深300,2.63,0.490,18.63
393,000027,深圳能源,中证500,2.62,0.160,6.10
394,601139,深圳燃气,中证500,2.61,0.160,6.13
395,301381,赛维时代,中证1000,2.61,0.500,19.19
396,600848,上海临港,中证500,2.60,0.200,7.68
397,688819,天能股份,中证500,2.60,0.550,21.14
398,600188,兖矿能源,沪深300,2.60,0.500,19.23
399,600167,联美控股,中证1000,2.59,0.150,5.79
400,300003,乐普医疗,中证500,2.58,0.326,12.61
401,002984,森麒麟,中证500,2.58,0.350,13.56
402,002701,奥瑞金,中证1000,2.57,0.120,4.67
403,600475,华光环能,中证1000,2.56,0.350,13.66
404,601058,赛轮轮胎,沪深300,2.55,0.330,12.94
405,002807,江阴银行,中证1000,2.54,0.100,3.94
406,000089,深圳机场,中证1000,2.52,0.160,6.35
407,601991,大唐发电,中证500,2.52,0.148,5.88
408,600361,创新新材,中证1000,2.51,0.088,3.50
409,300685,艾德生物,中证1000,2.51,0.450,17.91
410,688128,中国电研,中证1000,2.51,0.550,21.90
411,600787,中储股份,中证1000,2.51,0.113,4.50
412,002605,姚记科技,中证1000,2.51,0.500,19.95
413,601877,正泰电器,沪深300,2.51,0.600,23.95
414,600872,中炬高新,中证1000,2.50,0.450,17.99
415,600030,中信证券,沪深300,2.50,0.700,28.00
416,688016,心脉医疗,中证1000,2.50,2.300,92.10
417,300119,瑞普生物,中证1000,2.50,0.400,16.03
418,603193,润本股份,中证1000,2.49,0.460,18.45
419,301665,泰禾股份,中证1000,2.49,0.600,24.12
420,600026,中远海能,沪深300,2.49,0.380,15.28
421,002926,华西证券,中证500,2.49,0.209,8.41
422,600633,浙数文化,中证1000,2.49,0.250,10.06
423,000156,华数传媒,中证1000,2.48,0.160,6.44
424,603013,亚普股份,中证1000,2.48,0.400,16.12
425,301339,通行宝,中证1000,2.48,0.250,10.10
426,600529,山东药玻,中证1000,2.47,0.460,18.59
427,301015,百洋医药,中证1000,2.47,0.571,23.10
428,000728,国元证券,中证500,2.47,0.180,7.30
429,603027,千禾味业,中证1000,2.46,0.180,7.32
430,601377,兴业证券,沪深300,2.45,0.150,6.13
431,600618,氯碱化工,中证1000,2.44,0.240,9.82
432,600352,浙江龙盛,中证500,2.44,0.300,12.28
433,601128,常熟银行,中证500,2.44,0.150,6.15
434,002500,山西证券,中证500,2.43,0.130,5.34
435,600717,天津港,中证1000,2.43,0.102,4.19
436,000425,徐工机械,沪深300,2.43,0.200,8.22
437,002939,长城证券,中证500,2.42,0.196,8.10
438,601808,中海油服,中证500,2.41,0.283,11.70
439,000975,山金国际,沪深300,2.41,0.480,19.90
440,000166,申万宏源,沪深300,2.41,0.110,4.57
441,002683,广东宏大,中证500,2.40,0.650,27.04
442,000625,长安汽车,沪深300,2.40,0.167,6.94
443,603298,杭叉集团,中证500,2.39,0.600,25.07
444,603379,三美股份,中证500,2.39,1.520,63.68
445,301029,怡合达,中证1000,2.38,0.646,27.17
446,600061,国投资本,沪深300,2.38,0.155,6.52
447,605555,德昌股份,中证1000,2.38,0.280,11.78
448,002993,奥海科技,中证1000,2.38,1.200,50.50
449,002020,京新药业,中证1000,2.38,0.350,14.73
450,600346,恒力石化,沪深300,2.36,0.370,15.65
451,300140,节能环境,中证500,2.36,0.120,5.08
452,300181,佐力药业,中证1000,2.35,0.350,14.87
453,301177,迪阿股份,中证1000,2.35,0.500,21.28
454,600436,片仔癀,沪深300,2.35,2.970,126.62
455,000537,绿发电力,中证500,2.34,0.165,7.04
456,002461,珠江啤酒,中证500,2.34,0.190,8.12
457,600637,东方明珠,中证500,2.33,0.180,7.72
458,603927,中科软,中证1000,2.33,0.300,12.87
459,600369,西南证券,中证500,2.33,0.096,4.12
460,601633,长城汽车,沪深300,2.33,0.350,15.03
461,000039,中集集团,中证500,2.32,0.179,7.70
462,688187,时代电气,中证500,2.32,1.120,48.18
463,600388,龙净环保,中证1000,2.32,0.380,16.40
464,300896,爱美客,沪深300,2.31,2.000,86.46
465,000400,许继电气,中证500,2.31,0.459,19.85
466,600216,浙江医药,中证1000,2.30,0.280,12.17
467,601038,一拖股份,中证1000,2.30,0.266,11.57
468,603599,广信股份,中证1000,2.29,0.220,9.61
469,002444,巨星科技,中证500,2.28,0.650,28.50
470,600362,江西铜业,沪深300,2.28,1.000,43.85
471,601360,三六零,沪深300,2.27,0.200,8.82
472,601669,中国电建,沪深300,2.26,0.106,4.66
473,300428,立中集团,中证1000,2.26,0.390,17.23
474,603338,浙江鼎力,中证500,2.25,1.150,51.11
475,600489,中金黄金,沪深300,2.24,0.458,20.47
476,603737,三棵树,中证500,2.23,0.500,22.38
477,600335,国机汽车,中证1000,2.22,0.112,5.04
478,002078,太阳纸业,中证500,2.22,0.300,13.54
479,601628,中国人寿,沪深300,2.21,0.856,38.72
480,601799,星宇股份,中证500,2.21,2.000,90.48
481,300492,华图山鼎,中证1000,2.21,0.500,22.65
482,003816,中国广核,沪深300,2.21,0.086,3.90
483,300446,航天智造,中证1000,2.20,0.320,14.52
484,603730,岱美股份,中证1000,2.19,0.250,11.41
485,002961,瑞达期货,中证1000,2.19,0.410,18.72
486,300750,宁德时代,沪深300,2.19,7.964,364.01
487,600686,金龙汽车,中证1000,2.17,0.230,10.58
488,600133,东湖高新,中证1000,2.17,0.166,7.66
489,603323,苏农银行,中证1000,2.16,0.090,4.17
490,300866,安克创新,沪深300,2.16,2.400,111.32
491,002906,华阳集团,中证1000,2.15,0.500,23.26
492,600380,健康元,中证500,2.14,0.220,10.26
493,600116,三峡水利,中证1000,2.14,0.125,5.83
494,300015,爱尔眼科,沪深300,2.14,0.180,8.40
495,002941,新疆交建,中证1000,2.14,0.200,9.35
496,002351,漫步者,中证1000,2.14,0.200,9.36
497,002550,千红制药,中证1000,2.14,0.150,7.02
498,688612,威迈斯,中证1000,2.14,0.660,30.91
499,601872,招商轮船,沪深300,2.13,0.320,15.04
500,600535,天士力,中证500,2.12,0.310,14.59
501,601021,春秋航空,沪深300,2.12,0.960,45.26
502,002127,南极电商,中证1000,2.12,0.060,2.83
503,601101,昊华能源,中证1000,2.11,0.250,11.83
504,002648,卫星化学,沪深300,2.11,0.500,23.67
505,603612,索通发展,中证1000,2.10,0.330,15.71
506,301219,腾远钴业,中证1000,2.10,1.000,47.63
507,601949,中国出版,中证1000,2.10,0.102,4.86
508,605499,东鹏饮料,沪深300,2.10,2.500,119.18
509,300957,贝泰妮,中证500,2.10,0.650,31.00
510,603227,雪峰科技,中证1000,2.09,0.150,7.17
511,600025,华能水电,沪深300,2.09,0.205,9.81
512,300674,宇信科技,中证1000,2.09,0.300,14.36
513,600916,中国黄金,中证1000,2.09,0.148,7.09
514,601127,赛力斯,沪深300,2.08,1.110,53.38
515,603055,台华新材,中证1000,2.08,0.180,8.66
516,001391,国货航,沪深300,2.08,0.087,4.19
517,003039,顺控发展,中证1000,2.07,0.231,11.18
518,000778,新兴铸管,中证1000,2.07,0.075,3.63
519,600009,上海机场,沪深300,2.07,0.470,22.76
520,601899,紫金矿业,沪深300,2.06,0.600,29.06
521,002698,博实股份,中证1000,2.06,0.250,12.15
522,002967,广电计量,中证1000,2.05,0.350,17.05
523,601702,华峰铝业,中证1000,2.05,0.300,14.66
524,300724,捷佳伟创,中证500,2.04,1.200,58.68
525,688425,铁建重工,中证500,2.04,0.084,4.11
526,601985,中国核电,沪深300,2.03,0.180,8.86
527,601901,方正证券,沪深300,2.03,0.145,7.14
528,600499,科达制造,中证500,2.02,0.300,14.84
529,600085,同仁堂,沪深300,2.02,0.500,24.75
530,600422,昆药集团,中证1000,2.02,0.180,8.91
531,301301,川宁生物,中证500,2.02,0.173,8.57
532,300682,朗新科技,中证1000,2.00,0.190,9.48
533,688029,南微医学,中证1000,1.99,1.500,75.28
534,000709,河钢股份,中证500,1.99,0.040,2.01
535,603456,九洲药业,中证1000,1.99,0.300,15.08
536,000983,山西焦煤,中证500,1.98,0.126,6.35
537,601880,辽港股份,中证500,1.97,0.029,1.45
538,300296,利亚德,中证1000,1.97,0.100,5.07
539,300035,中科电气,中证1000,1.97,0.250,12.68
540,688100,威胜信息,中证1000,1.97,0.550,27.90
541,002539,云图控股,中证1000,1.97,0.200,10.15
542,601677,明泰铝业,中证1000,1.97,0.315,15.99
543,603885,吉祥航空,中证500,1.97,0.200,10.16
544,605118,力鼎光电,中证1000,1.96,0.600,30.54
545,002706,良信股份,中证1000,1.96,0.200,10.22
546,000422,湖北宜化,中证1000,1.95,0.250,12.80
547,688190,云路股份,中证1000,1.95,1.400,71.78
548,600458,时代新材,中证1000,1.95,0.232,11.90
549,601619,嘉泽新能,中证1000,1.95,0.080,4.11
550,601990,南京证券,中证500,1.95,0.130,6.68
551,688789,宏华数科,中证1000,1.94,0.900,46.28
552,002262,恩华药业,中证500,1.94,0.400,20.57
553,002226,江南化工,中证1000,1.94,0.088,4.53
554,301215,中汽股份,中证1000,1.94,0.099,5.10
555,601200,上海环境,中证1000,1.94,0.135,6.96
556,600875,东方电气,沪深300,1.94,0.530,27.38
557,603194,中力股份,中证1000,1.93,0.650,33.60
558,600486,扬农化工,中证500,1.93,0.954,49.47
559,600827,百联股份,中证1000,1.93,0.150,7.79
560,302132,中航成飞,沪深300,1.92,1.009,52.52
561,600268,国电南自,中证1000,1.92,0.200,10.42
562,601788,光大证券,沪深300,1.92,0.283,14.78
563,002668,TCL智家,中证1000,1.91,0.204,10.66
564,600312,平高电气,中证500,1.91,0.331,17.33
565,603418,友升股份,中证1000,1.91,0.830,43.51
566,688772,珠海冠宇,中证500,1.90,0.300,15.75
567,002608,江苏国信,中证500,1.90,0.130,6.83
568,601022,宁波远洋,中证1000,1.90,0.150,7.89
569,600299,安迪苏,中证500,1.90,0.151,7.96
570,300699,光威复材,中证500,1.89,0.500,26.44
571,600663,陆家嘴,中证500,1.89,0.123,6.53
572,603166,福达股份,中证1000,1.88,0.200,10.62
573,300284,苏交科,中证1000,1.88,0.095,5.06
574,600089,特变电工,沪深300,1.87,0.360,19.30
575,002204,大连重工,中证1000,1.86,0.095,5.10
576,000062,深圳华强,中证500,1.86,0.500,26.88
577,002545,东方铁塔,中证1000,1.85,0.300,16.22
578,600320,振华重工,中证1000,1.85,0.075,4.06
579,002673,西部证券,中证500,1.84,0.120,6.53
580,601615,明阳智能,中证500,1.84,0.185,10.07
581,301678,新恒汇,中证1000,1.83,1.000,54.57
582,301238,瑞泰新材,中证1000,1.83,0.300,16.40
583,300761,立华股份,中证1000,1.83,0.350,19.14
584,603486,科沃斯,中证500,1.82,0.920,50.54
585,000591,太阳能,中证500,1.81,0.076,4.20
586,600267,海正药业,中证1000,1.81,0.210,11.59
587,000927,中国铁物,中证1000,1.80,0.043,2.39
588,600309,万华化学,沪深300,1.80,1.250,69.60
589,600305,恒顺醋业,中证1000,1.79,0.120,6.70
590,601878,浙商证券,沪深300,1.79,0.170,9.51
591,300413,芒果超媒,沪深300,1.78,0.260,14.58
592,000559,万向钱潮,中证500,1.78,0.200,11.25
593,600559,老白干酒,中证1000,1.77,0.200,11.29
594,300244,迪安诊断,中证1000,1.76,0.350,19.86
595,000100,TCL科技,沪深300,1.75,0.090,5.13
596,301101,明月镜片,中证1000,1.75,0.500,28.53
597,300017,网宿科技,中证500,1.75,0.250,14.27
598,002568,百润股份,中证500,1.75,0.300,17.15
599,601958,金钼股份,中证500,1.74,0.400,22.98
600,600909,华安证券,中证500,1.74,0.160,9.20
601,300595,欧普康视,中证1000,1.74,0.188,10.82
602,600063,皖维高新,中证1000,1.73,0.100,5.77
603,300919,中伟新材,中证500,1.72,0.660,38.27
604,603983,丸美生物,中证1000,1.72,0.500,29.06
605,000048,京基智农,中证1000,1.72,0.380,22.10
606,600835,上海机电,中证1000,1.71,0.360,21.00
607,300224,正海磁材,中证1000,1.71,0.200,11.67
608,002423,中粮资本,中证500,1.70,0.148,8.70
609,600120,浙江东方,中证1000,1.70,0.084,4.94
610,601858,中国科传,中证1000,1.70,0.306,18.06
611,000830,鲁西化工,中证500,1.69,0.200,11.83
612,600985,淮北矿业,中证500,1.69,0.250,14.79
613,300573,兴齐眼药,中证1000,1.69,0.700,41.43
614,603809,豪能股份,中证1000,1.69,0.150,8.88
615,600531,豫光金铅,中证1000,1.68,0.215,12.80
616,301267,华厦眼科,中证1000,1.67,0.260,15.60
617,002458,益生股份,中证1000,1.67,0.150,9.00
618,605116,奥锐特,中证1000,1.66,0.340,20.45
619,600563,法拉电子,中证500,1.66,2.300,138.66
620,605090,九丰能源,中证1000,1.65,0.652,39.40
621,603619,中曼石油,中证1000,1.65,0.340,20.66
622,600821,金开新能,中证1000,1.64,0.100,6.08
623,300627,华测导航,中证500,1.64,0.450,27.37
624,603915,国茂股份,中证1000,1.64,0.220,13.39
625,601222,林洋能源,中证1000,1.63,0.088,5.39
626,300127,银河磁体,中证1000,1.63,0.400,24.58
627,600161,天坛生物,中证500,1.62,0.200,12.32
628,603328,依顿电子,中证1000,1.62,0.168,10.35
629,600196,复星医药,沪深300,1.62,0.390,24.05
630,601865,福莱特,中证500,1.62,0.150,9.25
631,002093,国脉科技,中证1000,1.62,0.100,6.18
632,000630,铜陵有色,沪深300,1.62,0.100,6.19
633,002241,歌尔股份,沪深300,1.61,0.350,21.73
634,000997,新大陆,中证500,1.60,0.250,15.61
635,300726,宏达电子,中证1000,1.60,1.000,62.58
636,000065,北方国际,中证1000,1.59,0.137,8.63
637,601882,海天精工,中证1000,1.59,0.300,18.92
638,000902,新洋丰,中证1000,1.58,0.200,12.63
639,601636,旗滨集团,中证1000,1.58,0.110,6.95
640,002138,顺络电子,中证500,1.58,0.800,50.55
641,002430,杭氧股份,中证500,1.58,0.400,25.33
642,000967,盈峰环境,中证500,1.57,0.130,8.26
643,603014,威高血净,中证1000,1.57,0.518,32.99
644,603993,洛阳钼业,沪深300,1.57,0.286,18.21
645,603129,春风动力,中证500,1.57,4.200,267.63
646,601866,中远海发,中证500,1.57,0.037,2.36
647,603786,科博达,中证500,1.57,0.620,39.60
648,002831,裕同科技,中证500,1.56,0.430,27.61
649,600906,财达证券,中证500,1.55,0.110,7.11
650,002920,德赛西威,沪深300,1.55,1.250,80.80
651,600170,上海建工,中证500,1.54,0.035,2.27
652,000617,中油资本,沪深300,1.54,0.102,6.63
653,600141,兴发集团,中证500,1.54,0.500,32.50
654,002179,中航光电,沪深300,1.53,0.550,35.86
655,301061,匠心家居,中证1000,1.53,0.500,32.60
656,603992,松霖科技,中证1000,1.53,0.375,24.46
657,002737,葵花药业,中证1000,1.52,0.200,13.12
658,000155,川能动力,中证500,1.52,0.170,11.17
