排名,代码,名称,指数,股息率(%),TTM每股股息(元),当前价(元)
1239,002892,科力尔,中证1000,0.24,0.022,9.03
1240,002779,中坚科技,中证1000,0.24,0.173,71.09
1241,603039,泛微网络,中证1000,0.24,0.075,30.85
1242,002230,科大讯飞,沪深300,0.24,0.100,41.18
1243,600552,凯盛科技,中证1000,0.24,0.050,20.63
1244,301316,慧博云通,中证1000,0.24,0.100,41.82
1245,300702,天宇股份,中证1000,0.24,0.050,20.96
1246,688584,上海合晶,中证1000,0.23,0.099,42.40
1247,002126,银轮股份,中证500,0.23,0.120,52.00
1248,300034,钢研高纳,中证1000,0.23,0.036,15.78
1249,688548,广钢气体,中证1000,0.23,0.097,42.60
1250,000661,长春高新,中证500,0.22,0.160,71.60
1251,601137,博威合金,中证1000,0.22,0.041,18.54
1252,600893,航发动力,沪深300,0.22,0.072,32.82
1253,688008,澜起科技,沪深300,0.22,0.590,270.00
1254,301500,飞南资源,中证1000,0.22,0.055,25.24
1255,688102,斯瑞新材,中证1000,0.22,0.080,36.86
1256,601727,上海电气,沪深300,0.22,0.014,6.59
1257,600619,海立股份,中证1000,0.22,0.028,12.98
1258,300558,贝达药业,中证500,0.21,0.150,69.80
1259,300285,国瓷材料,中证500,0.21,0.150,70.01
1260,603118,共进股份,中证1000,0.21,0.030,14.26
1261,301127,武汉天源,中证1000,0.21,0.038,18.08
1262,301095,广立微,中证1000,0.21,0.200,95.70
1263,688025,杰普特,中证1000,0.21,0.890,427.80
1264,688321,微芯生物,中证1000,0.21,0.058,28.23
1265,002044,美年健康,中证500,0.20,0.009,4.42
1266,002045,国光电器,中证1000,0.20,0.015,7.37
1267,688099,晶晨股份,中证500,0.20,0.200,98.28
1268,603667,五洲新春,中证1000,0.20,0.120,59.16
1269,600345,长江通信,中证1000,0.20,0.110,55.00
1270,603950,长源东谷,中证1000,0.20,0.130,65.04
1271,688392,骄成超声,中证1000,0.20,0.400,200.46
1272,688313,仕佳光子,中证500,0.20,0.300,151.90
1273,600728,佳都科技,中证1000,0.20,0.008,4.18
1274,603175,超颖电子,中证500,0.19,0.160,82.06
1275,600498,烽火通信,中证500,0.19,0.097,50.34
1276,000811,冰轮环境,中证1000,0.19,0.100,52.00
1277,600460,士兰微,沪深300,0.19,0.080,41.80
1278,300747,锐科激光,中证1000,0.19,0.070,37.10
1279,301571,国科天成,中证1000,0.19,0.114,60.99
1280,002364,中恒电气,中证1000,0.19,0.100,53.60
1281,600515,海南机场,沪深300,0.18,0.005,2.72
1282,301200,大族数控,中证500,0.18,0.600,327.00
1283,300394,天孚通信,沪深300,0.18,0.500,273.51
1284,000801,四川九洲,中证1000,0.18,0.020,10.96
1285,600206,有研新材,中证1000,0.18,0.096,52.63
1286,301377,鼎泰高科,中证500,0.18,0.900,495.85
1287,600640,国脉文化,中证1000,0.18,0.018,10.07
1288,002268,电科网安,中证1000,0.18,0.025,14.16
1289,000938,紫光股份,沪深300,0.18,0.065,36.98
1290,002025,航天电器,中证500,0.17,0.130,74.37
1291,600259,中稀有色,中证1000,0.17,0.150,85.88
1292,688668,鼎通科技,中证1000,0.17,0.600,345.88
1293,300661,圣邦股份,沪深300,0.17,0.200,117.31
1294,600353,旭光电子,中证1000,0.17,0.070,41.28
1295,000636,风华高科,中证1000,0.17,0.100,59.41
1296,002896,中大力德,中证1000,0.17,0.120,71.37
1297,002008,大族激光,中证500,0.17,0.200,119.50
1298,300047,天源迪科,中证1000,0.17,0.015,9.01
1299,301510,固高科技,中证1000,0.17,0.050,30.26
1300,000519,中兵红箭,中证500,0.17,0.025,15.14
1301,300870,欧陆通,中证1000,0.16,0.434,264.00
1302,000029,深深房A,中证1000,0.16,0.035,21.32
1303,688400,凌云光,中证1000,0.16,0.085,51.90
1304,301421,波长光电,中证1000,0.16,0.150,91.78
1305,600184,光电股份,中证1000,0.16,0.033,20.25
1306,603083,剑桥科技,中证1000,0.16,0.325,200.23
1307,300383,光环新网,中证500,0.16,0.020,12.39
1308,688082,盛美上海,沪深300,0.16,0.620,387.88
1309,688596,正帆科技,中证1000,0.16,0.100,63.12
1310,000988,华工科技,沪深300,0.16,0.250,159.84
1311,600338,西藏珠峰,中证1000,0.16,0.020,12.81
1312,300133,华策影视,中证1000,0.16,0.011,7.06
1313,000970,中科三环,中证1000,0.15,0.025,16.18
1314,688709,成都华微,中证500,0.15,0.049,31.85
1315,688630,芯碁微装,中证1000,0.15,0.700,455.60
1316,688403,汇成股份,中证1000,0.15,0.050,32.58
1317,300182,捷成股份,中证1000,0.15,0.007,4.69
1318,002254,泰和新材,中证1000,0.15,0.020,13.46
1319,688593,新相微,中证1000,0.15,0.045,30.34
1320,001267,汇绿生态,中证1000,0.15,0.063,42.62
1321,002338,奥普光电,中证1000,0.15,0.070,47.58
1322,600516,方大炭素,中证500,0.14,0.007,5.08
1323,300007,汉威科技,中证1000,0.14,0.050,35.42
1324,300602,飞荣达,中证1000,0.14,0.060,42.70
1325,603688,石英股份,中证500,0.14,0.086,61.92
1326,300548,长芯博创,中证500,0.14,0.290,213.89
1327,002153,石基信息,中证500,0.13,0.010,7.42
1328,000032,深桑达A,中证500,0.13,0.025,18.99
1329,002636,金安国纪,中证1000,0.13,0.125,95.68
1330,300180,华峰超纤,中证1000,0.13,0.005,3.89
1331,301269,华大九天,沪深300,0.13,0.150,116.79
1332,603986,兆易创新,沪深300,0.13,0.750,583.99
1333,002625,光启技术,沪深300,0.13,0.035,27.44
1334,301236,软通动力,沪深300,0.13,0.050,39.51
1335,600584,长电科技,沪深300,0.13,0.130,102.70
1336,300613,富瀚微,中证1000,0.13,0.080,63.65
1337,300666,江丰电子,中证500,0.12,0.386,311.39
1338,600556,天下秀,中证1000,0.12,0.005,4.24
1339,603477,巨星农牧,中证1000,0.12,0.019,15.37
1340,300054,鼎龙股份,中证500,0.12,0.100,82.60
1341,002488,金固股份,中证1000,0.12,0.010,8.40
1342,300308,中际旭创,沪深300,0.12,1.400,1184.05
1343,300503,昊志机电,中证1000,0.12,0.100,84.89
1344,688552,航天南湖,中证1000,0.12,0.029,24.88
1345,300070,碧水源,中证1000,0.12,0.004,3.45
1346,002544,普天科技,中证1000,0.12,0.018,15.97
1347,688432,有研硅,中证1000,0.11,0.055,48.38
1348,002654,万润科技,中证1000,0.11,0.018,16.47
1349,600879,航天电子,中证500,0.11,0.021,19.31
1350,601698,中国卫通,沪深300,0.11,0.031,28.91
1351,002929,润建股份,中证1000,0.11,0.060,56.70
1352,688147,微导纳米,中证1000,0.11,0.144,137.08
1353,603496,恒为科技,中证1000,0.10,0.025,23.88
1354,688605,先锋精科,中证1000,0.10,0.100,95.80
1355,300454,深信服,中证500,0.10,0.110,105.97
1356,600105,永鼎股份,中证500,0.10,0.050,48.60
1357,000555,神州信息,中证1000,0.10,0.010,9.73
1358,000973,佛塑科技,中证1000,0.10,0.012,11.72
1359,300337,银邦股份,中证1000,0.10,0.010,9.82
1360,688396,华润微,沪深300,0.10,0.077,75.88
1361,300803,指南针,沪深300,0.10,0.080,79.10
1362,300170,汉得信息,中证1000,0.10,0.015,14.95
1363,603881,数据港,中证1000,0.10,0.024,24.15
1364,688351,微电生理,中证1000,0.10,0.021,21.26
1365,002371,北方华创,沪深300,0.10,0.762,774.20
1366,603306,华懋科技,中证1000,0.09,0.080,85.50
1367,603516,淳中科技,中证1000,0.09,0.100,109.04
1368,688385,复旦微电,中证500,0.09,0.058,63.83
1369,600126,杭钢股份,中证500,0.09,0.005,5.67
1370,300607,拓斯达,中证1000,0.09,0.032,36.46
1371,000681,视觉中国,中证1000,0.09,0.015,17.11
1372,688519,南亚新材,中证1000,0.09,0.320,366.90
1373,301511,德福科技,中证1000,0.09,0.100,115.00
1374,300821,东岳硅材,中证1000,0.09,0.020,23.23
1375,002185,华天科技,中证500,0.09,0.022,25.68
1376,300438,鹏辉能源,中证1000,0.09,0.060,70.56
1377,300348,长亮科技,中证1000,0.08,0.007,8.25
1378,688306,均普智能,中证1000,0.08,0.008,9.49
1379,688001,华兴源创,中证1000,0.08,0.052,62.06
1380,688333,铂力特,中证1000,0.08,0.081,99.56
1381,300058,蓝色光标,中证500,0.08,0.010,12.42
1382,301091,深城交,中证1000,0.08,0.012,14.93
1383,301392,汇成真空,中证1000,0.08,0.200,252.34
1384,688146,中船特气,中证1000,0.08,0.196,248.34
1385,688295,中复神鹰,中证500,0.08,0.033,43.40
1386,301205,联特科技,中证1000,0.07,0.200,269.85
1387,601869,长飞光纤,中证500,0.07,0.295,400.18
1388,002436,兴森科技,中证500,0.07,0.030,40.85
1389,300223,北京君正,中证500,0.07,0.150,207.69
1390,688449,联芸科技,中证1000,0.07,0.050,69.70
1391,301611,珂玛科技,中证500,0.07,0.100,140.00
1392,300738,奥飞数据,中证1000,0.07,0.014,19.83
1393,688041,海光信息,沪深300,0.07,0.240,340.85
1394,301592,六九一二,中证1000,0.07,0.077,109.64
1395,301031,中熔电气,中证1000,0.07,0.070,99.68
1396,688502,茂莱光学,中证1000,0.07,0.410,589.02
1397,300620,光库科技,中证500,0.07,0.200,287.78
1398,300567,精测电子,中证500,0.07,0.200,297.10
1399,600765,中航重机,中证500,0.07,0.008,12.86
1400,688652,京仪装备,中证1000,0.07,0.125,190.84
1401,600316,洪都航空,中证500,0.06,0.017,26.21
1402,300568,星源材质,中证1000,0.06,0.010,15.44
1403,301626,苏州天脉,中证1000,0.06,0.200,309.02
1404,301308,江波龙,沪深300,0.06,0.347,538.51
1405,300260,新莱应材,中证1000,0.06,0.050,78.78
1406,688336,三生国健,中证500,0.06,0.033,52.31
1407,000831,中国稀土,中证500,0.06,0.029,47.38
1408,603026,石大胜华,中证1000,0.06,0.040,65.56
1409,688433,华曙高科,中证1000,0.06,0.051,84.04
1410,300655,晶瑞电材,中证1000,0.06,0.010,16.48
1411,688206,概伦电子,中证1000,0.06,0.030,50.00
1412,688205,德科立,中证1000,0.06,0.100,169.20
1413,001236,弘业期货,中证1000,0.06,0.004,6.88
1414,300136,信维通信,中证500,0.06,0.050,89.70
1415,001309,德明利,中证500,0.05,0.400,736.00
1416,688017,绿的谐波,中证500,0.05,0.210,386.87
1417,688166,博瑞医药,中证500,0.05,0.016,29.53
1418,300342,天银机电,中证1000,0.05,0.020,38.44
1419,301526,国际复材,中证500,0.05,0.020,39.08
1420,605376,博迁新材,中证1000,0.05,0.100,196.30
1421,300475,香农芯创,中证500,0.05,0.117,230.89
1422,688536,思瑞浦,中证1000,0.05,0.155,312.64
1423,000977,浪潮信息,沪深300,0.05,0.040,84.95
1424,600869,远东股份,中证1000,0.05,0.010,21.45
1425,300033,同花顺,沪深300,0.05,0.100,217.69
1426,603728,鸣志电器,中证500,0.04,0.025,55.70
1427,300376,易事特,中证1000,0.04,0.002,4.87
1428,688072,拓荆科技,沪深300,0.04,0.330,850.01
1429,301487,盟固利,中证1000,0.04,0.006,16.31
1430,688627,精智达,中证1000,0.04,0.224,608.97
1431,688568,中科星图,中证500,0.03,0.012,34.68
1432,002195,岩山科技,中证500,0.03,0.002,5.96
1433,603256,宏和科技,中证500,0.03,0.068,206.05
1434,300814,中富电路,中证1000,0.03,0.050,165.71
1435,300604,长川科技,中证500,0.03,0.100,335.62
1436,301396,宏景科技,中证1000,0.02,0.050,236.60
1437,688766,普冉股份,中证1000,0.02,0.120,645.00
1438,002851,麦格米特,中证500,0.02,0.030,172.16
1439,688498,源杰科技,中证500,0.02,0.300,1798.90
1440,601606,长城军工,中证1000,0.02,0.004,25.88
1441,301217,铜冠铜箔,中证1000,0.01,0.020,134.21
1442,600118,中国卫星,沪深300,0.01,0.012,82.13
1443,002428,云南锗业,中证1000,0.01,0.010,94.77
1444,688037,芯源微,中证500,0.01,0.036,382.50
1445,688027,国盾量子,中证500,0.00,0.016,429.85
